Milena;2;12;2025-12-06 11:00
Mi;8;12;2025-12-06 11:40
teste;10;12;2025-12-06 14:00
s;5;12;2025-12-08 13:59
Milena;1;5;2025-12-08 15:10
Mih;2;5;2025-12-08 15:35
Socorro;3;5;2025-12-09 10:45
Milena;3;3;2025-12-09 12:18
Teste;2;3;2025-12-09 14:22
Desisto;2;3;2025-12-09 14:24
...;4;5;2025-12-09 14:28
2;0;8;2025-12-09 15:56
Testefinalpeloamor;2;3;2025-12-09 21:43
Milena;2;3;2025-12-09 22:06
Mih;3;5;2025-12-09 22:07
d;2;3;2025-12-09 22:17
